position,fielder,events,putouts,errors
1B,J Brown,1,1,0
1B,J Driver,5,5,0
2B,E Mason,3,3,0
2B,R Johnston,1,1,0
3B,L Collier,6,4,1
3B,R Johnston,1,1,0
3B,W Dixon,1,0,0
CF,J Duffield,7,3,1
CF,J Duffield.,1,0,1
LF,W Dixon,4,1,0
P,M Brantley,1,1,0
RF,D Benton,6,2,0
SS,J Fuentes,2,1,1
SS,R Johnston,3,2,1
SS,R Johnston.,1,0,1
